"2024-01-01", "12:00:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:01:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:02:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:03:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:04:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:05:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:06:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:07:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:08:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:09:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:10:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:11:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:12:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:13:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:14:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:15:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:16:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
"2024-01-01", "12:17:00", "ERROR", "SYSLOG", "Router3", "Interface down",
"2024-01-01", "12:18:00", "INFO", "SYSLOG", "Router1", "Interface up",
"2024-01-01", "12:19:00", "WARNING", "SYSLOG", "Router2", "High CPU usage",
